player,dismissal,runs,balls,minutes,4s,6s,strike_rate,team,opponent,innings,match_id
Mohammad Rizwan,c de Kock b Coetzee,31,27,35,4,1,114.81,Pakistan,South Africa,1,28
Iftikhar Ahmed,c Klaasen b Shamsi,21,31,38,1,1,67.74,Pakistan,South Africa,1,28
Saud Shakeel,c de Kock b Shamsi,52,52,81,7,0,100.0,Pakistan,South Africa,1,28
Shadab Khan,c Maharaj b Coetzee,43,36,53,3,2,119.44,Pakistan,South Africa,1,28
Mohammad Nawaz,c Miller b Jansen,24,24,32,1,2,100.0,Pakistan,South Africa,1,28
Shaheen Shah Afridi,c Maharaj b Shamsi,2,4,10,0,0,50.0,Pakistan,South Africa,1,28
Mohammad Wasim,c de Kock b Ngidi,7,9,13,0,1,77.77,Pakistan,South Africa,1,28
Haris Rauf,not out,0,1,5,0,0,0.0,Pakistan,South Africa,1,28
Quinton de Kock,c Phillips b Southee,114,116,176,10,3,98.27,South Africa,New Zealand,1,29
Temba Bavuma,c Mitchell b Boult,24,28,37,4,1,85.71,South Africa,New Zealand,1,29
Rassie van der Dussen,b Southee,133,118,172,9,5,112.71,South Africa,New Zealand,1,29
David Miller,c Mitchell b Neesham,53,30,48,2,4,176.66,South Africa,New Zealand,1,29
Heinrich Klaasen,not out,15,7,13,1,1,214.28,South Africa,New Zealand,1,29
Aiden Markram,not out,6,1,1,0,1,600.0,South Africa,New Zealand,1,29
Quinton de Kock,c de Silva b Pathirana,100,84,140,12,3,119.04,South Africa,Sri Lanka,1,30
Temba Bavuma,lbw b Madushanka,8,5,9,2,0,160.0,South Africa,Sri Lanka,1,30
Rassie van der Dussen,c Samarawickrama b Wellalage,108,110,161,13,2,98.18,South Africa,Sri Lanka,1,30
Aiden Markram,c Rajitha b Madushanka,106,54,84,14,3,196.29,South Africa,Sri Lanka,1,30
Heinrich Klaasen,c Shanaka b Rajitha,32,20,30,1,3,160.0,South Africa,Sri Lanka,1,30
David Miller,not out,39,21,36,3,2,185.71,South Africa,Sri Lanka,1,30
Marco Jansen,not out,12,7,15,0,1,171.42,South Africa,Sri Lanka,1,30
Mitchell Marsh,c Ackermann b van Beek,9,15,15,2,0,60.0,Australia,Netherlands,1,31
David Warner,c Dutt b van Beek,104,93,182,11,3,111.82,Australia,Netherlands,1,31
Steven Smith,c van der Merwe b Dutt,71,68,88,9,1,104.41,Australia,Netherlands,1,31
Marnus Labuschagne,c Dutt b de Leede,62,47,60,7,2,131.91,Australia,Netherlands,1,31
Josh Inglis,c Engelbrecht b de Leede,14,12,12,1,1,116.66,Australia,Netherlands,1,31
Glenn Maxwell,c Engelbrecht b van Beek,106,44,53,9,8,240.9,Australia,Netherlands,1,31
Cameron Green,run out (Engelbrecht),8,11,15,1,0,72.72,Australia,Netherlands,1,31
Pat Cummins,not out,12,9,39,2,0,133.33,Australia,Netherlands,1,31
Mitchell Starc,c Ackermann b van Beek,0,1,1,0,0,0.0,Australia,Netherlands,1,31
Adam Zampa,not out,1,1,2,0,0,100.0,Australia,Netherlands,1,31
Tanzid Hasan,lbw b Kuldeep Yadav,51,43,75,5,3,118.6,Bangladesh,India,1,32
Litton Das,c Shubman Gill b Jadeja,66,82,124,7,0,80.48,Bangladesh,India,1,32
Najmul Hossain Shanto,lbw b Jadeja,8,17,18,0,0,47.05,Bangladesh,India,1,32
Mehidy Hasan Miraz,c Rahul b Mohammed Siraj,3,13,15,0,0,23.07,Bangladesh,India,1,32
Towhid Hridoy,c Shubman Gill b Thakur,16,35,54,0,0,45.71,Bangladesh,India,1,32
Mushfiqur Rahim,c Jadeja b Bumrah,38,46,60,1,1,82.6,Bangladesh,India,1,32
Mahmudullah,b Bumrah,46,36,60,3,3,127.77,Bangladesh,India,1,32
Nasum Ahmed,c Rahul b Mohammed Siraj,14,18,21,2,0,77.77,Bangladesh,India,1,32
Mustafizur Rahman,not out,1,7,19,0,0,14.28,Bangladesh,India,1,32
Shoriful Islam,not out,7,3,2,0,1,233.33,Bangladesh,India,1,32
Quinton de Kock,b Maxwell,109,106,147,8,5,102.83,South Africa,Australia,1,33
Temba Bavuma,c Warner b Maxwell,35,55,84,2,0,63.63,South Africa,Australia,1,33
Rassie van der Dussen,c sub (SA Abbott) b Zampa,26,30,33,2,0,86.66,South Africa,Australia,1,33
Aiden Markram,c Hazlewood b Cummins,56,44,61,7,1,127.27,South Africa,Australia,1,33
Heinrich Klaasen,c Inglis b Hazlewood,29,27,40,3,0,107.4,South Africa,Australia,1,33
David Miller,b Starc,17,13,35,1,1,130.76,South Africa,Australia,1,33
Marco Jansen,c Warner b Starc,26,22,25,3,1,118.18,South Africa,Australia,1,33
Kagiso Rabada,not out,0,1,4,0,0,0.0,South Africa,Australia,1,33
Keshav Maharaj,not out,0,2,1,0,0,0.0,South Africa,Australia,1,33
Devon Conway,lbw b Mujeeb Ur Rahman,20,18,27,3,0,111.11,New Zealand,Afghanistan,1,34
Will Young,c Ikram Alikhil b Azmatullah Omarzai,54,64,98,4,3,84.37,New Zealand,Afghanistan,1,34
Rachin Ravindra,b Azmatullah Omarzai,32,41,64,2,1,78.04,New Zealand,Afghanistan,1,34
Daryl Mitchell,c Ibrahim Zadran b Rashid Khan,1,7,6,0,0,14.28,New Zealand,Afghanistan,1,34
Tom Latham,b Naveen-ul-Haq,68,74,114,3,2,91.89,New Zealand,Afghanistan,1,34
Glenn Phillips,c Rashid Khan b Naveen-ul-Haq,71,80,109,4,4,88.75,New Zealand,Afghanistan,1,34
Mark Chapman,not out,25,12,15,2,1,208.33,New Zealand,Afghanistan,1,34
Mitchell Santner,not out,7,5,13,1,0,140.0,New Zealand,Afghanistan,1,34
Pathum Nissanka,c Rahmanullah Gurbaz b Azmatullah Omarzai,46,60,82,5,0,76.66,Sri Lanka,Afghanistan,1,35
Dimuth Karunaratne,lbw b Fazalhaq Farooqi,15,21,25,1,0,71.42,Sri Lanka,Afghanistan,1,35
Kusal Mendis,c sub (Najibullah Zadran) b Mujeeb Ur Rahman,39,50,91,3,0,78.0,Sri Lanka,Afghanistan,1,35
Sadeera Samarawickrama,lbw b Mujeeb Ur Rahman,36,40,42,3,0,90.0,Sri Lanka,Afghanistan,1,35
Charith Asalanka,c Rashid Khan b Fazalhaq Farooqi,22,28,48,2,0,78.57,Sri Lanka,Afghanistan,1,35
Dhananjaya de Silva,b Rashid Khan,14,26,24,1,0,53.84,Sri Lanka,Afghanistan,1,35
Angelo Mathews,c Mohammad Nabi b Fazalhaq Farooqi,23,26,61,1,1,88.46,Sri Lanka,Afghanistan,1,35
Dushmantha Chameera,run out (Ibrahim Zadran),1,4,5,0,0,25.0,Sri Lanka,Afghanistan,1,35
Maheesh Theekshana,b Fazalhaq Farooqi,29,31,31,3,1,93.54,Sri Lanka,Afghanistan,1,35
Kasun Rajitha,run out (Rahmanullah Gurbaz),5,7,14,0,0,71.42,Sri Lanka,Afghanistan,1,35
Dilshan Madushanka,not out,0,4,5,0,0,0.0,Sri Lanka,Afghanistan,1,35
Rohit Sharma,c Bavuma b Rabada,40,24,32,6,2,166.66,India,South Africa,1,36
Shubman Gill,b Maharaj,23,24,54,4,1,95.83,India,South Africa,1,36
Virat Kohli,not out,101,121,195,10,0,83.47,India,South Africa,1,36
Shreyas Iyer,c Markram b Ngidi,77,87,101,7,2,88.5,India,South Africa,1,36
KL Rahul,c van der Dussen b Jansen,8,17,29,0,0,47.05,India,South Africa,1,36
Suryakumar Yadav,c de Kock b Shamsi,22,14,19,5,0,157.14,India,South Africa,1,36
Ravindra Jadeja,not out,29,15,21,3,1,193.33,India,South Africa,1,36
David Warner,c sub (Shadab Khan) b Haris Rauf,163,124,180,14,9,131.45,Australia,Pakistan,1,37
Mitchell Marsh,c Usama Mir b Shaheen Shah Afridi,121,108,139,10,9,112.03,Australia,Pakistan,1,37
Glenn Maxwell,c Babar Azam b Shaheen Shah Afridi,0,1,1,0,0,0.0,Australia,Pakistan,1,37
Steven Smith,c & b Usama Mir,7,9,17,0,0,77.77,Australia,Pakistan,1,37
Marcus Stoinis,lbw b Shaheen Shah Afridi,21,24,46,1,1,87.5,Australia,Pakistan,1,37
Josh Inglis,c Mohammad Rizwan b Haris Rauf,13,9,10,3,0,144.44,Australia,Pakistan,1,37
Marnus Labuschagne,c sub (Shadab Khan) b Haris Rauf,8,12,23,1,0,66.66,Australia,Pakistan,1,37
Pat Cummins,not out,6,8,17,0,0,75.0,Australia,Pakistan,1,37
Mitchell Starc,c Saud Shakeel b Shaheen Shah Afridi,2,3,3,0,0,66.66,Australia,Pakistan,1,37
Josh Hazlewood,c Mohammad Rizwan b Shaheen Shah Afridi,0,1,1,0,0,0.0,Australia,Pakistan,1,37
Adam Zampa,not out,1,1,4,0,0,100.0,Australia,Pakistan,1,37
Jonny Bairstow,c van Meekeren b Dutt,15,17,29,2,0,88.23,England,Netherlands,1,38
Dawid Malan,run out (Edwards/van Beek),87,74,92,10,2,117.56,England,Netherlands,1,38
Joe Root,b van Beek,28,35,53,1,0,80.0,England,Netherlands,1,38
Ben Stokes,c Engelbrecht b van Beek,108,84,136,6,6,128.57,England,Netherlands,1,38
Harry Brook,c Ackermann b de Leede,11,16,19,2,0,68.75,England,Netherlands,1,38
Jos Buttler,c Nidamanuru b van Meekeren,5,11,12,0,0,45.45,England,Netherlands,1,38
Moeen Ali,c de Leede b Dutt,4,15,20,0,0,26.66,England,Netherlands,1,38
Chris Woakes,c Edwards b de Leede,51,45,66,5,1,113.33,England,Netherlands,1,38
David Willey,c Engelbrecht b de Leede,6,2,1,0,1,300.0,England,Netherlands,1,38
Gus Atkinson,not out,2,1,7,0,0,200.0,England,Netherlands,1,38
Adil Rashid,not out,1,1,3,0,0,100.0,England,Netherlands,1,38
Tanzid Hasan,lbw b Shaheen Shah Afridi,0,5,7,0,0,0.0,Bangladesh,Pakistan,1,39
Litton Das,c Agha Salman b Iftikhar Ahmed,45,64,100,6,0,70.31,Bangladesh,Pakistan,1,39
Najmul Hossain Shanto,c Usama Mir b Shaheen Shah Afridi,4,3,8,1,0,133.33,Bangladesh,Pakistan,1,39
Mushfiqur Rahim,c Mohammad Rizwan b Haris Rauf,5,8,18,1,0,62.5,Bangladesh,Pakistan,1,39
Mahmudullah,b Shaheen Shah Afridi,56,70,108,6,1,80.0,Bangladesh,Pakistan,1,39
Shakib Al Hasan,c Agha Salman b Haris Rauf,43,64,82,4,0,67.18,Bangladesh,Pakistan,1,39
Towhid Hridoy,c Iftikhar Ahmed b Usama Mir,7,3,9,0,1,233.33,Bangladesh,Pakistan,1,39
Mehidy Hasan Miraz,b Mohammad Wasim,25,30,50,1,1,83.33,Bangladesh,Pakistan,1,39
Taskin Ahmed,b Mohammad Wasim,6,13,20,0,0,46.15,Bangladesh,Pakistan,1,39
Mustafizur Rahman,b Mohammad Wasim,3,7,11,0,0,42.85,Bangladesh,Pakistan,1,39
Shoriful Islam,not out,1,4,8,0,0,25.0,Bangladesh,Pakistan,1,39
Pathum Nissanka,c Abdullah Shafique b Shadab Khan,51,61,79,7,1,83.6,Sri Lanka,Pakistan,1,40
Kusal Perera,c Mohammad Rizwan b Hasan Ali,0,4,7,0,0,0.0,Sri Lanka,Pakistan,1,40
Kusal Mendis,c Imam-ul-Haq b Hasan Ali,122,77,124,14,6,158.44,Sri Lanka,Pakistan,1,40
Sadeera Samarawickrama,c Mohammad Rizwan b Hasan Ali,108,89,139,11,2,121.34,Sri Lanka,Pakistan,1,40
Charith Asalanka,c Mohammad Rizwan b Hasan Ali,1,3,5,0,0,33.33,Sri Lanka,Pakistan,1,40
Dhananjaya de Silva,c Shaheen Shah Afridi b Mohammad Nawaz,25,34,47,3,0,73.52,Sri Lanka,Pakistan,1,40
Dasun Shanaka,c Babar Azam b Shaheen Shah Afridi,12,18,23,0,0,66.66,Sri Lanka,Pakistan,1,40
Dunith Wellalage,c Abdullah Shafique b Haris Rauf,10,8,18,1,0,125.0,Sri Lanka,Pakistan,1,40
Maheesh Theekshana,b Haris Rauf,0,4,6,0,0,0.0,Sri Lanka,Pakistan,1,40
Matheesha Pathirana,not out,1,3,3,0,0,33.33,Sri Lanka,Pakistan,1,40
Rohit Sharma,c Barresi b de Leede,61,54,74,8,2,112.96,India,Netherlands,1,41
Shubman Gill,c Nidamanuru b van Meekeren,51,32,49,3,4,159.37,India,Netherlands,1,41
Virat Kohli,b van der Merwe,51,56,69,5,1,91.07,India,Netherlands,1,41
Shreyas Iyer,not out,128,94,145,10,5,136.17,India,Netherlands,1,41
KL Rahul,c Engelbrecht b de Leede,102,64,98,11,4,159.37,India,Netherlands,1,41
Suryakumar Yadav,not out,2,1,1,0,0,200.0,India,Netherlands,1,41
Devon Conway,c Mohammad Rizwan b Hasan Ali,35,39,48,6,0,89.74,New Zealand,Pakistan,1,42
Rachin Ravindra,c Saud Shakeel b Mohammad Wasim,108,94,170,15,1,114.89,New Zealand,Pakistan,1,42
Kane Williamson,c Fakhar Zaman b Iftikhar Ahmed,95,79,111,10,2,120.25,New Zealand,Pakistan,1,42
Daryl Mitchell,b Haris Rauf,29,18,32,4,1,161.11,New Zealand,Pakistan,1,42
Mark Chapman,b Mohammad Wasim,39,27,42,7,0,144.44,New Zealand,Pakistan,1,42
Glenn Phillips,b Mohammad Wasim,41,25,40,4,2,164.0,New Zealand,Pakistan,1,42
Mitchell Santner,not out,26,17,27,0,2,152.94,New Zealand,Pakistan,1,42
Tom Latham,not out,2,2,4,0,0,100.0,New Zealand,Pakistan,1,42
Rahmanullah Gurbaz,c Thakur b Pandya,21,28,65,3,1,75.0,Afghanistan,India,1,43
Ibrahim Zadran,c Rahul b Bumrah,22,28,31,4,0,78.57,Afghanistan,India,1,43
Rahmat Shah,lbw b Thakur,16,22,37,3,0,72.72,Afghanistan,India,1,43
Hashmatullah Shahidi,lbw b Kuldeep Yadav,80,88,128,8,1,90.9,Afghanistan,India,1,43
Azmatullah Omarzai,b Pandya,62,69,82,2,4,89.85,Afghanistan,India,1,43
Mohammad Nabi,lbw b Bumrah,19,27,52,1,0,70.37,Afghanistan,India,1,43
Najibullah Zadran,c Kohli b Bumrah,2,8,6,0,0,25.0,Afghanistan,India,1,43
Rashid Khan,c Kuldeep Yadav b Bumrah,16,12,18,1,1,133.33,Afghanistan,India,1,43
Mujeeb Ur Rahman,not out,10,12,22,2,0,83.33,Afghanistan,India,1,43
Naveen-ul-Haq,not out,9,8,8,1,0,112.5,Afghanistan,India,1,43
Abdullah Shafique,lbw b Noor Ahmad,58,75,89,5,2,77.33,Pakistan,Afghanistan,1,44
Imam-ul-Haq,c Naveen-ul-Haq b Azmatullah Omarzai,17,22,44,2,0,77.27,Pakistan,Afghanistan,1,44
Babar Azam,c Mohammad Nabi b Noor Ahmad,74,92,121,4,1,80.43,Pakistan,Afghanistan,1,44
Mohammad Rizwan,c Mujeeb Ur Rahman b Noor Ahmad,8,10,8,0,1,80.0,Pakistan,Afghanistan,1,44
Saud Shakeel,c Rashid Khan b Mohammad Nabi,25,34,35,3,0,73.52,Pakistan,Afghanistan,1,44
Shadab Khan,c Mohammad Nabi b Naveen-ul-Haq,40,38,75,1,1,105.26,Pakistan,Afghanistan,1,44
Iftikhar Ahmed,c Azmatullah Omarzai b Naveen-ul-Haq,40,27,40,2,4,148.14,Pakistan,Afghanistan,1,44
Shaheen Shah Afridi,not out,3,3,4,0,0,100.0,Pakistan,Afghanistan,1,44
Rahmanullah Gurbaz,c Klaasen b Maharaj,25,22,45,3,1,113.63,Afghanistan,South Africa,1,45
Ibrahim Zadran,c de Kock b Coetzee,15,30,52,3,0,50.0,Afghanistan,South Africa,1,45
Rahmat Shah,c Miller b Ngidi,26,46,58,2,0,56.52,Afghanistan,South Africa,1,45
Hashmatullah Shahidi,c de Kock b Maharaj,2,7,5,0,0,28.57,Afghanistan,South Africa,1,45
Azmatullah Omarzai,not out,97,107,173,7,3,90.65,Afghanistan,South Africa,1,45
Ikram Alikhil,c de Kock b Coetzee,12,14,16,1,1,85.71,Afghanistan,South Africa,1,45
Mohammad Nabi,c de Kock b Ngidi,2,3,7,0,0,66.66,Afghanistan,South Africa,1,45
Rashid Khan,c de Kock b Phehlukwayo,14,30,42,0,0,46.66,Afghanistan,South Africa,1,45
Noor Ahmad,c de Kock b Coetzee,26,32,36,4,0,81.25,Afghanistan,South Africa,1,45
Mujeeb Ur Rahman,c Markram b Coetzee,8,5,7,0,1,160.0,Afghanistan,South Africa,1,45
Naveen-ul-Haq,run out (Rabada),2,4,12,0,0,50.0,Afghanistan,South Africa,1,45
Vikramjit Singh,c Shakib Al Hasan b Taskin Ahmed,3,9,7,0,0,33.33,Netherlands,Bangladesh,1,46
Max O'Dowd,c Tanzid Hasan b Shoriful Islam,0,3,11,0,0,0.0,Netherlands,Bangladesh,1,46
Wesley Barresi,c Shakib Al Hasan b Mustafizur Rahman,41,41,49,8,0,100.0,Netherlands,Bangladesh,1,46
Colin Ackermann,c Mustafizur Rahman b Shakib Al Hasan,15,33,50,1,0,45.45,Netherlands,Bangladesh,1,46
Scott Edwards,c Mehidy Hasan Miraz b Mustafizur Rahman,68,89,122,6,0,76.4,Netherlands,Bangladesh,1,46
Bas de Leede,c Mushfiqur Rahim b Taskin Ahmed,17,32,49,2,0,53.12,Netherlands,Bangladesh,1,46
Sybrand Engelbrecht,lbw b Mahedi Hasan,35,61,72,3,0,57.37,Netherlands,Bangladesh,1,46
Logan van Beek,not out,23,16,33,2,1,143.75,Netherlands,Bangladesh,1,46
Shariz Ahmad,run out (Mahmudullah/Mushfiqur Rahim),6,8,13,0,0,75.0,Netherlands,Bangladesh,1,46
Aryan Dutt,c Mehidy Hasan Miraz b Shoriful Islam,9,6,7,0,1,150.0,Netherlands,Bangladesh,1,46
Paul van Meekeren,lbw b Mahedi Hasan,0,2,6,0,0,0.0,Netherlands,Bangladesh,1,46
Dawid Malan,c Mohammad Rizwan b Iftikhar Ahmed,31,39,61,5,0,79.48,England,Pakistan,1,47
Jonny Bairstow,c Agha Salman b Haris Rauf,59,61,81,7,1,96.72,England,Pakistan,1,47
Joe Root,c Shadab Khan b Shaheen Shah Afridi,60,72,115,4,0,83.33,England,Pakistan,1,47
Ben Stokes,b Shaheen Shah Afridi,84,76,85,11,2,110.52,England,Pakistan,1,47
Jos Buttler,run out (Haris Rauf),27,18,39,3,1,150.0,England,Pakistan,1,47
Harry Brook,c Shaheen Shah Afridi b Haris Rauf,30,17,24,2,2,176.47,England,Pakistan,1,47
Moeen Ali,b Haris Rauf,8,6,10,0,1,133.33,England,Pakistan,1,47
Chris Woakes,not out,4,4,19,1,0,100.0,England,Pakistan,1,47
David Willey,c Iftikhar Ahmed b Mohammad Wasim,15,5,5,2,1,300.0,England,Pakistan,1,47
Gus Atkinson,b Mohammad Wasim,0,1,1,0,0,0.0,England,Pakistan,1,47
Adil Rashid,not out,0,1,1,0,0,0.0,England,Pakistan,1,47
Pathum Nissanka,lbw b Bumrah,0,1,2,0,0,0.0,Sri Lanka,India,2,0
Dimuth Karunaratne,lbw b Mohammed Siraj,0,1,10,0,0,0.0,Sri Lanka,India,2,0
Kusal Mendis,b Mohammed Siraj,1,10,21,0,0,10.0,Sri Lanka,India,2,0
Sadeera Samarawickrama,c Iyer b Mohammed Siraj,0,4,4,0,0,0.0,Sri Lanka,India,2,0
Charith Asalanka,c Jadeja b Mohammed Shami,1,24,42,0,0,4.16,Sri Lanka,India,2,0
Angelo Mathews,b Mohammed Shami,12,25,55,1,0,48.0,Sri Lanka,India,2,0
Dushan Hemantha,c Rahul b Mohammed Shami,0,1,1,0,0,0.0,Sri Lanka,India,2,0
Dushmantha Chameera,c Rahul b Mohammed Shami,0,6,10,0,0,0.0,Sri Lanka,India,2,0
Maheesh Theekshana,not out,12,23,37,2,0,52.17,Sri Lanka,India,2,0
Kasun Rajitha,c Shubman Gill b Mohammed Shami,14,17,20,2,0,82.35,Sri Lanka,India,2,0
Dilshan Madushanka,c Iyer b Jadeja,5,6,4,1,0,83.33,Sri Lanka,India,2,0
Vikramjit Singh,c Fakhar Zaman b Shadab Khan,52,67,97,4,1,77.61,Netherlands,Pakistan,2,1
Max O'Dowd,c Shaheen Shah Afridi b Hasan Ali,5,12,24,1,0,41.66,Netherlands,Pakistan,2,1
Colin Ackermann,b Iftikhar Ahmed,17,21,24,3,0,80.95,Netherlands,Pakistan,2,1
Bas de Leede,b Mohammad Nawaz,67,68,92,6,2,98.52,Netherlands,Pakistan,2,1
Teja Nidamanuru,c Fakhar Zaman b Haris Rauf,5,9,10,1,0,55.55,Netherlands,Pakistan,2,1
Scott Edwards,lbw b Haris Rauf,0,2,2,0,0,0.0,Netherlands,Pakistan,2,1
Saqib Zulfiqar,lbw b Shaheen Shah Afridi,10,18,24,1,0,55.55,Netherlands,Pakistan,2,1
Roelof van der Merwe,run out (Babar Azam/Mohammad Rizwan),4,7,18,0,0,57.14,Netherlands,Pakistan,2,1
Logan van Beek,not out,28,28,36,3,1,100.0,Netherlands,Pakistan,2,1
Aryan Dutt,b Hasan Ali,1,2,6,0,0,50.0,Netherlands,Pakistan,2,1
Paul van Meekeren,b Haris Rauf,7,12,17,1,0,58.33,Netherlands,Pakistan,2,1
David Warner,c Kohli b Mohammed Shami,7,3,6,1,0,233.33,Australia,India,2,2
Travis Head,c Shubman Gill b Mohammed Siraj,137,120,166,15,4,114.16,Australia,India,2,2
Mitchell Marsh,c Rahul b Bumrah,15,15,15,1,1,100.0,Australia,India,2,2
Steven Smith,lbw b Bumrah,4,9,11,1,0,44.44,Australia,India,2,2
Marnus Labuschagne,not out,58,110,133,4,0,52.72,Australia,India,2,2
Glenn Maxwell,not out,2,1,1,0,0,200.0,Australia,India,2,2
Jonny Bairstow,b Mohammed Shami,14,23,53,2,0,60.86,England,India,2,3
Dawid Malan,b Bumrah,16,17,25,2,1,94.11,England,India,2,3
Joe Root,lbw b Bumrah,0,1,2,0,0,0.0,England,India,2,3
Ben Stokes,b Mohammed Shami,0,10,14,0,0,0.0,England,India,2,3
Jos Buttler,b Kuldeep Yadav,10,23,33,1,0,43.47,England,India,2,3
Moeen Ali,c Rahul b Mohammed Shami,15,31,55,0,0,48.38,England,India,2,3
Liam Livingstone,lbw b Kuldeep Yadav,27,46,56,2,0,58.69,England,India,2,3
Chris Woakes,st Rahul b Jadeja,10,20,21,1,0,50.0,England,India,2,3
David Willey,not out,16,17,29,0,2,94.11,England,India,2,3
Adil Rashid,b Mohammed Shami,13,20,19,2,0,65.0,England,India,2,3
Mark Wood,b Bumrah,0,1,3,0,0,0.0,England,India,2,3
Pathum Nissanka,c Edwards b van Meekeren,54,52,69,9,0,103.84,Sri Lanka,Netherlands,2,4
Kusal Perera,c de Leede b Dutt,5,8,17,1,0,62.5,Sri Lanka,Netherlands,2,4
Kusal Mendis,c van Meekeren b Dutt,11,17,22,2,0,64.7,Sri Lanka,Netherlands,2,4
Sadeera Samarawickrama,not out,91,107,168,7,0,85.04,Sri Lanka,Netherlands,2,4
Charith Asalanka,b Dutt,44,66,70,2,1,66.66,Sri Lanka,Netherlands,2,4
Dhananjaya de Silva,b Ackermann,30,37,57,1,2,81.08,Sri Lanka,Netherlands,2,4
Dushan Hemantha,not out,4,3,7,1,0,133.33,Sri Lanka,Netherlands,2,4
Tanzid Hasan,c Klaasen b Jansen,12,17,30,1,0,70.58,Bangladesh,South Africa,2,5
Litton Das,lbw b Rabada,22,44,78,3,1,50.0,Bangladesh,South Africa,2,5
Najmul Hossain Shanto,c Klaasen b Jansen,0,1,1,0,0,0.0,Bangladesh,South Africa,2,5
Shakib Al Hasan,c Klaasen b Williams,1,4,4,0,0,25.0,Bangladesh,South Africa,2,5
Mushfiqur Rahim,c sub (AL Phehlukwayo) b Coetzee,8,17,24,1,0,47.05,Bangladesh,South Africa,2,5
Mahmudullah,c Jansen b Coetzee,111,111,150,11,4,100.0,Bangladesh,South Africa,2,5
Mehidy Hasan Miraz,c sub (AL Phehlukwayo) b Maharaj,11,19,26,1,0,57.89,Bangladesh,South Africa,2,5
Nasum Ahmed,c & b Coetzee,19,19,27,3,0,100.0,Bangladesh,South Africa,2,5
Hasan Mahmud,c Coetzee b Rabada,15,25,32,2,0,60.0,Bangladesh,South Africa,2,5
Mustafizur Rahman,c Miller b Williams,11,21,51,2,0,52.38,Bangladesh,South Africa,2,5
Shoriful Islam,not out,6,4,4,1,0,150.0,Bangladesh,South Africa,2,5
Devon Conway,lbw b Shakib Al Hasan,45,59,91,3,0,76.27,New Zealand,Bangladesh,2,6
Rachin Ravindra,c Mushfiqur Rahim b Mustafizur Rahman,9,13,12,2,0,69.23,New Zealand,Bangladesh,2,6
Kane Williamson,retired hurt,78,107,158,8,1,72.89,New Zealand,Bangladesh,2,6
Daryl Mitchell,not out,89,67,103,6,4,132.83,New Zealand,Bangladesh,2,6
Glenn Phillips,not out,16,11,22,1,1,145.45,New Zealand,Bangladesh,2,6
Rohit Sharma,c Iftikhar Ahmed b Shaheen Shah Afridi,86,63,91,6,6,136.5,India,Pakistan,2,7
Shubman Gill,c Shadab Khan b Shaheen Shah Afridi,16,11,11,4,0,145.45,India,Pakistan,2,7
Virat Kohli,c Mohammad Nawaz b Hasan Ali,16,18,31,3,0,88.88,India,Pakistan,2,7
Shreyas Iyer,not out,53,62,80,3,2,85.48,India,Pakistan,2,7
KL Rahul,not out,19,29,33,2,0,65.51,India,Pakistan,2,7
Devon Conway,c de Silva b Chameera,45,42,54,9,0,107.14,New Zealand,Sri Lanka,2,8
Rachin Ravindra,c de Silva b Theekshana,42,34,61,3,3,123.52,New Zealand,Sri Lanka,2,8
Kane Williamson,b Mathews,14,15,26,2,0,93.33,New Zealand,Sri Lanka,2,8
Daryl Mitchell,c Asalanka b Mathews,43,31,45,5,2,138.7,New Zealand,Sri Lanka,2,8
Mark Chapman,run out (Samarawickrama/Mathews),7,6,13,1,0,116.66,New Zealand,Sri Lanka,2,8
Glenn Phillips,not out,17,10,15,3,0,170.0,New Zealand,Sri Lanka,2,8
Tom Latham,not out,2,2,3,0,0,100.0,New Zealand,Sri Lanka,2,8
Devon Conway,c Rahul b Mohammed Shami,13,15,26,3,0,86.66,New Zealand,India,2,9
Rachin Ravindra,c Rahul b Mohammed Shami,13,22,39,3,0,59.09,New Zealand,India,2,9
Kane Williamson,c Yadav b Mohammed Shami,69,73,116,8,1,94.52,New Zealand,India,2,9
Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,180,9,7,112.6,New Zealand,India,2,9
Tom Latham,lbw b Mohammed Shami,0,2,1,0,0,0.0,New Zealand,India,2,9
Glenn Phillips,c Jadeja b Bumrah,41,33,58,4,2,124.24,New Zealand,India,2,9
Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,5,0,0,40.0,New Zealand,India,2,9
Mitchell Santner,c Sharma b Mohammed Siraj,9,10,20,0,0,90.0,New Zealand,India,2,9
Tim Southee,c Rahul b Mohammed Shami,9,10,14,1,0,90.0,New Zealand,India,2,9
Trent Boult,not out,2,2,5,0,0,100.0,New Zealand,India,2,9
Lockie Ferguson,c Rahul b Mohammed Shami,6,3,2,0,1,200.0,New Zealand,India,2,9
Rahmanullah Gurbaz,c Edwards b van Beek,10,11,24,2,0,90.9,Afghanistan,Netherlands,2,10
Ibrahim Zadran,b van der Merwe,20,34,44,2,0,58.82,Afghanistan,Netherlands,2,10
Rahmat Shah,c & b Saqib Zulfiqar,52,54,74,8,0,96.29,Afghanistan,Netherlands,2,10
Hashmatullah Shahidi,not out,56,64,92,6,0,87.5,Afghanistan,Netherlands,2,10
Azmatullah Omarzai,not out,31,28,38,3,0,110.71,Afghanistan,Netherlands,2,10
Tanzid Hasan,c Nissanka b Madushanka,9,5,11,2,0,180.0,Bangladesh,Sri Lanka,2,11
